Provider EPG,Consumer EPG,Consumer VRF,Contract,Filter,Hits,TCAM Usage
tn-sj15/BD-sj15_ctx02_bd01,sj15_ctx02/any,tn-sj15/ctx-sj15_ctx02,tn-sj15/ctx-sj15_ctx02,sys/actrl/filt-implicit,0,1
tn-corp10/ctx-ctx1/any,ctx1-bd1-epg1,tn-corp10/ctx-ctx1,tn-corp10/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-abc09/ctx-abc09_ctx01/any,abc09_ctx01/any,tn-abc09/ctx-abc09_ctx01,tn-abc09/ctx-abc09_ctx01,sys/actrl/filt-implarp,0,3
tn-abc08/ctx-abc08_ctx01/any,abc08_ctx01/any,tn-abc08/ctx-abc08_ctx01,tn-abc08/ctx-abc08_ctx01,sys/actrl/filt-implarp,0,2
tn-abc06/BD-abc06_ctx01_bd03,abc06_ctx01/any,tn-abc06/ctx-abc06_ctx01,tn-abc06/ctx-abc06_ctx01,sys/actrl/filt-implicit,0,2
tn-oak/ctx-term1/any,term1/any,tn-oak/ctx-term1,tn-oak/ctx-term1,sys/actrl/filt-implarp,0,1
tn-corp03/BD-ctx1-bd1,ctx1/any,tn-corp03/ctx-ctx1,tn-corp03/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-oak/ctx-term1/any,term1/any,tn-oak/ctx-term1,tn-oak/ctx-term1,sys/actrl/filt-implicit,0,2
tn-abc03/BD-abc03_ctx01_bd01,abc03_ctx01/any,tn-abc03/ctx-abc03_ctx01,tn-abc03/ctx-abc03_ctx01,sys/actrl/filt-implicit,0,2
tn-amb/BD-amb2-bd,amb2/any,tn-amb/ctx-amb2,tn-amb/ctx-amb2,sys/actrl/filt-implicit,0,1
tn-abc04/BD-abc04_ctx01_bd04,abc04_ctx01/any,tn-abc04/ctx-abc04_ctx01,tn-abc04/ctx-abc04_ctx01,sys/actrl/filt-implicit,0,2
tn-abc08/BD-abc08_ctx01_bd04,abc08_ctx01/any,tn-abc08/ctx-abc08_ctx01,tn-abc08/ctx-abc08_ctx01,sys/actrl/filt-implicit,0,2
tn-bell02/ctx-ctx2/any,ctx2/any,tn-bell02/ctx-ctx2,tn-bell02/ctx-ctx2,sys/actrl/filt-implarp,0,1
tn-abc05/BD-abc05_ctx01_bd01,abc05_ctx01/any,tn-abc05/ctx-abc05_ctx01,tn-abc05/ctx-abc05_ctx01,sys/actrl/filt-implicit,0,2
tn-sf19/ap-sf19_ctx01_bd02_ap/epg-sf19_ctx01_bd02_epg01,sf19_ctx01_bd01_epg02,tn-sf19/ctx-sf19_ctx01,tn-sf19/brc-sf19_ctx01_cont1,tn-sf19/flt-fil1,0,2
tn-abc04/BD-abc04_ctx01_bd03,abc04_ctx01/any,tn-abc04/ctx-abc04_ctx01,tn-abc04/ctx-abc04_ctx01,sys/actrl/filt-implicit,0,2
tn-ab21/BD-ab21_ctx02_bd02,ab21_ctx02/any,tn-ab21/ctx-ab21_ctx02,tn-ab21/ctx-ab21_ctx02,sys/actrl/filt-implicit,0,2
tn-sf17/ap-sf17_ctx01_bd02_ap/epg-sf17_ctx01_bd02_epg01,sf17_ctx01_bd02_epg02,tn-sf17/ctx-sf17_ctx01,tn-sf17/brc-sf17_ctx01_cont1,tn-sf17/flt-fil1,0,2
tn-sf16/BD-sf16_ctx01_bd02,sf16_ctx01/any,tn-sf16/ctx-sf16_ctx01,tn-sf16/ctx-sf16_ctx01,sys/actrl/filt-implicit,0,1
tn-bell03/BD-ctx1-bd2,ctx1/any,tn-bell03/ctx-ctx1,tn-bell03/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-mgmt/ctx-oob/any,oob/any,tn-mgmt/ctx-oob,tn-mgmt/ctx-oob,sys/actrl/filt-implicit,0,6
tn-abc09/BD-abc09_ctx01_bd02,abc09_ctx01/any,tn-abc09/ctx-abc09_ctx01,tn-abc09/ctx-abc09_ctx01,sys/actrl/filt-implicit,0,2
tn-sf16/ap-sf16_ctx02_bd02_ap/epg-sf16_ctx02_bd02_epg01,sf16_ctx02_bd02_epg02,tn-sf16/ctx-sf16_ctx02,tn-sf16/brc-sf16_ctx02_cont1,tn-sf16/flt-fil1,0,2
tn-common/ctx-default/any,default/any,tn-common/ctx-default,tn-common/ctx-default,sys/actrl/filt-implicit,0,4
tn-sj15/ctx-sj15_ctx01/any,sj15_ctx01/any,tn-sj15/ctx-sj15_ctx01,tn-sj15/ctx-sj15_ctx01,sys/actrl/filt-implicit,0,4
tn-corp10/BD-ctx1-bd1,ctx1/any,tn-corp10/ctx-ctx1,tn-corp10/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-bell01/ctx-ctx1/any,ctx1/any,tn-bell01/ctx-ctx1,tn-bell01/ctx-ctx1,sys/actrl/filt-implicit,0,2
tn-sf18/ap-sf18_ctx01_bd02_ap/epg-sf18_ctx01_bd02_epg01,sf18_ctx01_bd01_epg02,tn-sf18/ctx-sf18_ctx01,tn-sf18/brc-sf18_ctx01_cont1,tn-sf18/flt-fil1,0,2
tn-corp02/ctx-ctx1/any,ctx1/any,tn-corp02/ctx-ctx1,tn-corp02/ctx-ctx1,sys/actrl/filt-implicit,0,6
tn-bell03/ctx-ctx2/any,ctx2/any,tn-bell03/ctx-ctx2,tn-bell03/ctx-ctx2,sys/actrl/filt-implarp,0,1
tn-vmm1/ap-vAP2/epg-vEPG3,vEPG2,tn-vmm1/ctx-vmm1,tn-vmm1/brc-con1,tn-vmm1/flt-fil_ip,0,4
tn-sf18/ctx-sf18_ctx02/any,sf18_ctx02/any,tn-sf18/ctx-sf18_ctx02,tn-sf18/ctx-sf18_ctx02,sys/actrl/filt-implicit,0,4
tn-kilo/ctx-kilo_ctx1/any,kilo_ctx1/any,tn-kilo/ctx-kilo_ctx1,tn-kilo/ctx-kilo_ctx1,sys/actrl/filt-implarp,0,1
tn-sj13/ctx-sj13_ctx01/any,sj13_ctx01/any,tn-sj13/ctx-sj13_ctx01,tn-sj13/ctx-sj13_ctx01,sys/actrl/filt-implarp,0,2
tn-sj15/ap-sj15_ctx02_bd01_ap/epg-sj15_ctx02_bd01_epg01,sj15_ctx02_bd02_epg02,tn-sj15/ctx-sj15_ctx02,tn-sj15/brc-sj15_ctx02_cont1,tn-sj15/flt-fil1,0,2
tn-sf18/ap-sf18_ctx01_bd01_ap/epg-sf18_ctx01_bd01_epg01,sf18_ctx01_bd01_epg02,tn-sf18/ctx-sf18_ctx01,tn-sf18/brc-sf18_ctx01_cont1,tn-sf18/flt-fil1,0,2
